 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 81.89 sec)
0.012	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.037	                       -	                   -	Successfully read encryption key from keychain in 0.024661 seconds
0.149	                       -	                   -	server_show_windows_for_asns start
0.198	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (yes) and/or unhidden (yes)
0.198	                       -	                   -	Still waiting for registration from com.apple.appstore, com.google.Chrome, com.apple.Terminal, com.github.GitHub, com.sublimetext.3, com.apple.Notes, Finder
0.209	                       -	                   -	Liveness: 1 -> 2 (add_app)
0.209	      com.apple.appstore	           Launching	
0.228	                       -	                   -	Symlinked '/Users/swifty/Library/Saved Application State/com.apple.appstore.savedState' to '/Users/swifty/Library/Containers/com.apple.appstore/Data/Library/Saved Application State/com.apple.appstore.savedState'
0.433	      com.apple.appstore	                   -	Failed to create a window: Menu bar bounds {1280, 22} different from menu bar frame size {2560, 44}
0.433	       com.google.Chrome	           Launching	
0.443	       com.google.Chrome	                   -	Failed to create a window: Menu bar bounds {1280, 22} different from menu bar frame size {2560, 44}
0.443	      com.apple.Terminal	           Launching	
0.463	      com.apple.Terminal	                   -	Failed to create a window: Menu bar bounds {1280, 22} different from menu bar frame size {2560, 44}
0.475	       com.github.GitHub	           Launching	
0.481	       com.github.GitHub	                   -	Failed to create a window: Menu bar bounds {1280, 22} different from menu bar frame size {2560, 44}
0.482	       com.sublimetext.3	           Launching	
0.485	       com.sublimetext.3	                   -	Failed to create a window image: Failed to read metadata for file '/Users/swifty/Library/Saved Application State/com.sublimetext.3.savedState/window_1.data'. errno is 2 (No such file or directory)
0.493	       com.sublimetext.3	                   -	Failed to create a window: Menu bar bounds {1280, 22} different from menu bar frame size {2560, 44}
0.494	         com.apple.Notes	           Launching	
0.495	                       -	                   -	Symlinked '/Users/swifty/Library/Saved Application State/com.apple.Notes.savedState' to '/Users/swifty/Library/Containers/com.apple.Notes/Data/Library/Saved Application State/com.apple.Notes.savedState'
0.581	         com.apple.Notes	                   -	Failed to create a window: Menu bar bounds {1280, 22} different from menu bar frame size {2560, 44}
0.591	                       -	                   -	Finder not yet launched, but pretending it is
0.591	        com.apple.finder	                   -	Skipping window creation because the archive was created prior to 10.10 (prev: 10.0)
0.591	                       -	                   -	loginwindow launched apps com.apple.appstore, com.google.Chrome, com.apple.Terminal, com.github.GitHub, com.sublimetext.3, com.apple.Notes
0.989	                       -	                   -	Bitmaps Ready (6 apps, 3 windows)
0.990	       com.google.Chrome	                   -	Disposing because it has no windows
0.991	       com.google.Chrome	            Disposed	
0.991	       com.github.GitHub	                   -	Disposing because it has no windows
0.991	       com.github.GitHub	            Disposed	
0.991	       com.sublimetext.3	                   -	Disposing because it has no windows
0.992	       com.sublimetext.3	            Disposed	
0.992	        com.apple.finder	                   -	Disposing because it has no windows
0.992	        com.apple.finder	            Disposed	
